State,fips,ratePer100k
"Dubuque County, Iowa(7)",19061,496.1
"Cleveland County, Arkansas(6)",5025,496.1
"Lee County, North Carolina(6)",37105,496
"Cleburne County, Arkansas(6)",5023,496
"Cook County, Georgia(7)",13075,495.9
"Somerset County, Maryland(6)",24039,495.8
"Atlantic County, New Jersey(7)",34001,495.8
"Glenn County, California(7)",6021,495.8
"Boone County, Iowa(7)",19015,495.7
"Garland County, Arkansas(6)",5051,495.7
"Morgan County, Georgia(7)",13211,495.6
"Henderson County, Texas(6)",48213,495.6
"Columbia County, New York(7)",36021,495.6
"Grainger County, Tennessee(6)",47057,495.5
"Putnam County, Georgia(7)",13237,495.5
"Acadia Parish, Louisiana(7)",22001,495.5
"Calhoun County, Mississippi(6)",28013,495.4
"Halifax County, North Carolina(6)",37083,495.4
"Franklin County, Missouri(6)",29071,495.1
"Fayette County, Ohio(6)",39047,495.1
"Washington County, Georgia(7)",13303,495.1
"Lawrence County, Mississippi(6)",28077,495
"Musselshell County, Montana(6)",30065,495
"Brookings County, South Dakota(6)",46011,494.9
"Worcester County, Maryland(6)",24047,494.9
"Washington County, New York(7)",36115,494.8
"Peoria County, Illinois(6)",17143,494.8
"Windham County, Connecticut(7)",9015,494.8
"Macomb County, Michigan(7)",26099,494.7
"Caldwell Parish, Louisiana(7)",22021,494.6
"Harrison County, Mississippi(6)",28047,494.5
"Crawford County, Pennsylvania(6)",42039,494.5
"Flagler County, Florida(6)",12035,494.4
"Morton County, North Dakota(6)",38059,494.3
"Shoshone County, Idaho(7)",16079,494.3
"Keith County, Nebraska(6)",31101,494.3
"Marion County, Tennessee(6)",47115,494.2
"Shelby County, Iowa(7)",19165,494.2
"Lee County, Mississippi(6)",28081,494.2
"Oglethorpe County, Georgia(7)",13221,494.1
"Wheeler County, Oregon(6)",41069,494.1
"Arenac County, Michigan(6)",26011,494.1
"Mason County, Washington(7)",53045,494.1
"Pope County, Illinois(6)",17151,494.1
"Milwaukee County, Wisconsin(6)",55079,494.1
"Alamance County, North Carolina(6)",37001,494
"McCracken County, Kentucky(7)",21145,494
"Ouachita Parish, Louisiana(7)",22073,494
"Cass County, Iowa(7)",19029,493.9
"Webster County, Kentucky(7)",21233,493.7
"Trousdale County, Tennessee(6)",47169,493.7
"Ouachita County, Arkansas(6)",5103,493.7
"Washington County, Illinois(6)",17189,493.7
"Macon County, Alabama(6)",1087,493.7
"Sevier County, Tennessee(6)",47155,493.5
"Putnam County, Florida(6)",12107,493.4
"Pierce County, Washington(7)",53053,493.4
"Merrimack County, New Hampshire(6)",33013,493.4
"Douglas County, Illinois(6)",17041,493.3
"Hawkins County, Tennessee(6)",47073,493.2
"Worth County, Missouri(6)",29227,493.2
"Kanawha County, West Virginia(6)",54039,493.2
"Erie County, Ohio(6)",39043,492.9
